---,PropID,PropName,PropDescription,PropCategory,PropSubCategories,PropIcon,PropClass
3001,3001,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""FA69B11945459CE2898D28A29A9C0CC4"", ""빙글빙글 연근"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""7A57751F4493EB9CFDBA4586DCAA8ED5"", ""빙글빙글 연근"")",Platform,(Moving),/Script/Engine.Texture2D'/Game/Props/Obstacle/Texture/LotusRoot.LotusRoot',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_RotatePlatform.BP_RotatePlatform_C'
3002,3002,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""79192FCB4046A21E0EABD39F3C40C871"", ""끝 포인트"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""6B87AF5F43F05E348D61469E31D6D19B"", ""끝 포인트"")",Platform,(Ending),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/CheckPointTexture.CheckPointTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Obstacle/BP_FinProp.BP_FinProp_C'
4001,4001,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""DE1E6AFA483F261003139888D50D8233"", ""반짝이는 개구리"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2EE913EF405113E6D92C64838429F9B8"", ""반짝이는 개구리"")",Decoration,(Fire),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/BrightFrog.BrightFrog',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BrightFrog/BP_BrightFrog.BP_BrightFrog_C'
4002,4002,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""4CE97706439092B1208DBB967FE9A592"", ""당근"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""3E23031E45C01A0C7693039D4E410A4D"", ""당근"")",Decoration,(DecorationEtc),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/Carrot.Carrot',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_CarrotProp.BP_CarrotProp_C'
4003,4003,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""E5B78B954D1A25421E9F9684812ED7CC"", ""체크 포인트"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""94D67EB04DBF6D18B6A569A4644C5C63"", ""체크 포인트"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/CheckPointTexture.CheckPointTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_CheckPointProp.BP_CheckPointProp_C'
4004,4004,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""838A611E4A82B2771F36989BD2DC0F48"", ""동전"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""665D0D0542FE18A85E6D79B7577AB8CC"", ""동전"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/CoinTexture.CoinTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_CoinProp.BP_CoinProp_C'
4005,4005,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""4039B96A43E4AF6BC7384E90D76F0C86"", ""문"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""7A74858B49ED82B13A7590B2E28DDEE9"", ""문"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/Door.Door',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_DoorProp.BP_DoorProp_C'
4009,4009,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1B5188F44B18703CA8BED08934BD1E28"", ""데이지 꽃"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""5CC8EAEC40942EB52BC9A48F936D7AA6"", ""데이지 꽃"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/FlowerDaisy.FlowerDaisy',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_FlowerDaisyProp.BP_FlowerDaisyProp_C'
4010,4010,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""84A0A9534CCAFDE1323DA489993966DB"", ""꽃1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""F0F3F47845A6AAF67613438A6529402C"", ""꽃1"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/FlowerOne.FlowerOne',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_FlowerOneProp.BP_FlowerOneProp_C'
4011,4011,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""F049EC744406B13EB20D1891C418DF2E"", ""꽃2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""28A578CD478976CE62C5819DCCFD539D"", ""꽃2"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/FlowerTwo2.FlowerTwo2',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_FlowerTwoProp.BP_FlowerTwoProp_C'
4012,4012,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""CE2E51E748ECA3159C4E4BB7ECC68936"", ""꽃3"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""CFF2308540550ADEBEC7439F3CA19A09"", ""꽃3"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/FlowerThree.FlowerThree',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_FlowerThreeProp.BP_FlowerThreeProp_C'
4013,4013,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""F248C6DF4032D368BD5EFAA10E81AEBC"", ""꽃4"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""23F2E12A455B6F21ECE081B3A6F701BF"", ""꽃4"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/FlowerFour.FlowerFour',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_FlowerFourProp.BP_FlowerFourProp_C'
4014,4014,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""8EB2263A4B56D4DA79E2C0A2257C68E7"", ""꽃5"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""AA7195874F0DE5BB9DA0C2AD5F3AD9C4"", ""꽃5"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/FlowerFive.FlowerFive',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_FlowerFiveProp.BP_FlowerFiveProp_C'
4015,4015,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""69C95A6846AD6243C1C6E4BF03B103C0"", ""꽃6"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""E262E38A4E5F13B2F91D5AB6D4F1253B"", ""꽃6"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/FlowerSix.FlowerSix',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_FlowerSixProp.BP_FlowerSixProp_C'
4016,4016,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""B64862B54E5DDF511D4128BA166A14EA"", ""사과"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""604C487642FB42249DF37AB2A722B6D3"", ""사과"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/AppleTexture.AppleTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_FruitAppleProp.BP_FruitAppleProp_C'
4017,4017,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""6B78F58A46D82916DAAC0589013921FF"", ""잔디1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""DD996DF1475DA05DA7C1E1B2CEBE4FD8"", ""잔디1"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/GrassOneTexture.GrassOneTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_GrassOneProp.BP_GrassOneProp_C'
4018,4018,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""7846DD9B434F65CF1A8231B382100E10"", ""잔디2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1C5D76654C392DE4DA2CA39CDD837F49"", ""잔디2"")",Decoration,(Flower),/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/GrassTwoTexture.GrassTwoTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_GrassTwoProp.BP_GrassTwoProp_C'
4019,4019,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2992642B46618E1FDA6F9AA35B4D0EDB"", ""열쇠"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""702C705D47819EFA7E370BAFE0731F8C"", ""열쇠"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/Key.Key',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_KeyProp.BP_KeyProp_C'
4020,4020,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2D7AC5C54DE7102D333B58AC35D5607B"", ""울타리 모서리 방지"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1002CCC348FCC0090C84759963A02E2E"", ""울타리 모서리 방지"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/LadderEndCap.LadderEndCap',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_LadderEndCapProp.BP_LadderEndCapProp_C'
4021,4021,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""DCBF766B4DF4DBD8B0C49DAC3FE7EA97"", ""길1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""8AE4B7BA4A833AA8137889A30965935E"", ""길1"")",Decoration,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PathOneProp.BP_PathOneProp_C'
4022,4022,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""4CD4C50445758FE8AFA182A1CB19883F"", ""길2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""8AFB27ED4886B09EE83431804A935454"", ""길2"")",Decoration,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PathTwoProp.BP_PathTwoProp_C'
4023,4023,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""71E344D048C9F95AE82221BE4D520A28"", ""길3"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""9679B2634C73271AFF4166A98745A825"", ""길3"")",Decoration,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PathThreeProp.BP_PathThreeProp_C'
4024,4024,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""920E860C40D9FC49DFA139805B5B69DA"", ""길4"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""02F02E134068F1CE6988359984F91859"", ""길4"")",Decoration,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PathFourProp.BP_PathFourProp_C'
4025,4025,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""3A3D792C44D35E2798EC0BA30342B783"", ""길5"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""B3B5CC294C55E36788B8A696842FF494"", ""길5"")",Decoration,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PathFiveProp.BP_PathFiveProp_C'
4026,4026,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""37F8A7044195979C489BE79F7487955F"", ""길6"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""755D31EB41287B1D1FE54DA67E175A33"", ""길6"")",Decoration,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PathSixProp.BP_PathSixProp_C'
4027,4027,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""4E8157CA4A4410214A6DF29777389E4F"", ""길7"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""6791D5124315352C91E06EB32444523B"", ""길7"")",Decoration,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PathSevenProp.BP_PathSevenProp_C'
4028,4028,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""D5C1567D4307CF21FA92FCAE5F64D95F"", ""길8"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""0724325A4527C239834CC882BC3A57CE"", ""길8"")",Decoration,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PathEightProp.BP_PathEightProp_C'
4029,4029,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""189D98E440787B5B99891AA2B40E08A8"", ""길9"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""4FA2207F486D4542C04F7C932A5BFBE5"", ""길9"")",Decoration,,/Script/Engine.Texture2D'/Game/MapEditor/8da75caf54288992489aa365e3f6e511.8da75caf54288992489aa365e3f6e511',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PathNineProp.BP_PathNineProp_C'
4030,4030,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""32D84E0E477CD917E520BBBA55600BEA"", ""항아리1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1DEA288441152A482D1BB1947BBD9B03"", ""항아리1"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/PotOne2.PotOne2',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PotOneProp.BP_PotOneProp_C'
4031,4031,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""CE4724124A10F0A8F7515E9C1143B995"", ""항아리2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""163E803D4132527D896CD0B6110D3173"", ""항아리2"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/PotTwo2.PotTwo2',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_PotTwoProp.BP_PotTwoProp_C'
4032,4032,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""468BE2E5460DD943FD0A6985B9DE292D"", ""주의 표지판"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""0B78513A47D95E3E36DA69887D4296B9"", ""주의 표지판"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/SignCaution.SignCaution',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_SignCautionProp.BP_SignCautionProp_C'
4033,4033,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""42E515694D8A6195F89DC7A6679DDC3A"", ""왼쪽 방향 표지판"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""33EEC6A74DAE813CA4BA65AD95ECF454"", ""왼쪽 방향 표지판"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/SignLeft.SignLeft',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_SignDirectionLeftProp.BP_SignDirectionLeftProp_C'
4034,4034,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""3C80AC1B493A75A187B254A195F6D0BC"", ""오른쪽 방향 표지판"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""DC8192A540BD03EF187DB2960982E5CC"", ""오른쪽 방향 표지판"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/SignRight.SignRight',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_SignDirectionRightProp.BP_SignDirectionRightProp_C'
4035,4035,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""FC1C9D5047C3B7FB72C833B5DC4DDA6C"", ""뾰죡 스파이크"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""D63EFA704365E165722BA89F9B1DEFE4"", ""뾰족 스파이크"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/Spike.Spike',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_SpikeProp.BP_SpikeProp_C'
4036,4036,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""D21651CC4F2CC5770BC248B91FEDD7C3"", ""별"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""DC49BE59493E0D671DD858AD1D991FE5"", ""별"")",Decoration,,/Script/Engine.Texture2D'/Game/Props/Decoration/Texture/Star.Star',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Decoration/BP_StarProp.BP_StarProp_C'
